data_id,r,duration,method,dataset
0,0.6053920946016176,,PCA,lorenz
1,0.6452291575165916,,PCA,lorenz
2,0.6195054982367573,,PCA,lorenz
3,0.6679085268929028,,PCA,lorenz
4,0.6215215596488445,,PCA,lorenz
5,0.7947061560669191,,PCA,lorenz
6,0.6120696296004641,,PCA,lorenz
7,0.6401735684675003,,PCA,lorenz
8,0.7302811671440399,,PCA,lorenz
9,0.7159629962475699,,PCA,lorenz
10,0.7139641878903756,,PCA,lorenz
11,0.5887585528859768,,PCA,lorenz
12,0.805159515653151,,PCA,lorenz
13,0.7031780667224594,,PCA,lorenz
14,0.7118541587241102,,PCA,lorenz
15,0.8064339291542507,,PCA,lorenz
16,0.6489309353156427,,PCA,lorenz
17,0.7426824743763838,,PCA,lorenz
18,0.8490525715434838,,PCA,lorenz
19,0.6553685895963395,,PCA,lorenz
20,0.6096759052761359,,PCA,lorenz
21,0.6063951983962336,,PCA,lorenz
22,0.7032296004682578,,PCA,lorenz
23,0.7814293421811322,,PCA,lorenz
24,0.7008330889262336,,PCA,lorenz
25,0.7351123115923673,,PCA,lorenz
26,0.7154347615626299,,PCA,lorenz
27,0.5800861475548483,,PCA,lorenz
28,0.7169890039179471,,PCA,lorenz
29,0.6963527816167652,,PCA,lorenz
30,0.725693262037095,,PCA,lorenz
31,0.662580324636471,,PCA,lorenz
32,0.7581576188978617,,PCA,lorenz
33,0.8047112657539227,,PCA,lorenz
34,0.7293952945157002,,PCA,lorenz
35,0.49180277273630457,,PCA,lorenz
36,0.8172789296603039,,PCA,lorenz
37,0.6937284500500412,,PCA,lorenz
38,0.7917854908466437,,PCA,lorenz
39,0.7692675479837253,,PCA,lorenz
40,0.6707217753467111,,PCA,lorenz
41,0.6726380976918549,,PCA,lorenz
42,0.6246385510240902,,PCA,lorenz
43,0.6219623538388773,,PCA,lorenz
44,0.7130876050953615,,PCA,lorenz
45,0.7964498027366161,,PCA,lorenz
46,0.6923304322584134,,PCA,lorenz
47,0.41063331997256497,,PCA,lorenz
48,0.8261819605599563,,PCA,lorenz
49,0.7235343020920715,,PCA,lorenz
